STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE,GEOID,min_dist_to_poll_miles,nearest_polling_idx,min_manhattan_dist_miles,min_dist_to_civic_center_miles,dist_to_city_hall_miles,min_dist_to_poll_miles_norm,min_manhattan_dist_miles_norm,min_dist_to_civic_center_miles_norm,accessibility_score,accessibility_category,min_network_dist_miles,nearest_poll_network_idx,driving_to_euclidean_ratio,driving_euclidean_diff_miles,min_walking_dist_miles,nearest_poll_walking_idx,osrm_walking_to_euclidean_ratio,min_google_walking_dist_miles,nearest_poll_google_walking_idx,google_walking_to_euclidean_ratio,osrm_walking_to_driving_ratio,google_to_osrm_walking_ratio,google_walking_to_driving_ratio,route_length_miles,has_sidewalk,sidewalk_segments,total_segments,sidewalk_pct,walkability_score,walkability_category
1,101,100,1,982,32.379105,-86.308949,11010001001,1.2028479814944746,16,1.3147259999997942,0.0713696856236832,0.0713696856236832,0.1651943544330774,0.1359132025234134,0.0,0.1068517025302549,Excellent,1.2882299576223792,16,1.0709831811180512,0.0853819761279046,1.1689885294592814,16,0.9718505974519536,1.154510544695341,16,0.959814176402344,0.9074377773490258,0.9876149471110404,0.896199112483118,1.1685457972051358,True,25,56,44.642857142857146,68.92857142857143,Good
1,101,200,1,900,32.372445,-86.304582,11010002001,0.95878808168873,16,1.237652999999746,0.3431482385046777,0.5205155712455442,0.1271205125835326,0.1265252483863859,0.0101818840450103,0.0918603447628319,Excellent,1.1199000832639467,16,1.1680371342241211,0.1611120015752167,1.086780916400512,16,1.1334943948055196,1.0979656256602086,16,1.1451598602752162,0.9704266770238028,1.0102915951972558,0.9804139155523498,1.0864088375256948,True,20,46,43.47826086956522,68.69565217391305,Good
1,101,200,2,540,32.370889,-86.315858,11010002002,0.7124461916489327,14,0.7417500000020709,0.7935026549961463,0.7935026549961463,0.0886906756059776,0.0661212856447051,0.0270539160698562,0.0634288307567594,Excellent,0.7997067120683014,14,1.1224801556134465,0.0872605204193686,0.7947357301751029,14,1.1155028119888095,0.794114357438453,14,1.11463064403573,0.9937839937839938,0.9992181391712276,0.9930069930069928,0.79446020386985,False,0,16,0.0,40.0,Fair
1,101,300,1,999,32.412411,-86.293391,11010003001,1.0490687069596911,22,1.2464187599969705,2.372561364880268,2.50061772971418,0.1412044741494453,0.1275929705826166,0.0862116108690622,0.1206231640952817,Excellent,1.0458324530552898,22,0.996915117300772,-0.0032362539044012,1.0396187256887917,22,0.9909920282549592,1.112878571339804,22,1.0608252481050937,0.9940585823777552,1.0704679935449166,1.06410789614402,1.0393491896940728,False,0,19,0.0,30.0,Poor
1,101,300,2,262,32.394912,-86.298449,11010003002,0.2319581898851665,20,0.3100142400034542,1.2652663130123147,1.2652663130123147,0.0137335679274191,0.0135332779873003,0.0447280217402689,0.0229718170892384,Excellent,0.2012626294008724,20,0.8676677012374933,-0.0306955604842941,0.2012626294008724,20,0.8676677012374933,0.2112667304609343,20,0.9107965990143494,1.0,1.0497066995986415,1.0497066995986415,0.20118407059611734,False,0,4,0.0,50.0,Fair
1,101,400,1,719,32.409662,-86.281546,11010004001,0.573135282773938,22,0.7164960000006246,1.8060635790470112,2.7796915096781047,0.0669578898568865,0.0630451968225505,0.0649883954756276,0.065193233632208,Excellent,0.900555507226565,21,1.571279127796729,0.327420224452627,0.8914834652714778,21,1.5554503309528511,0.9183889047684144,22,1.6023946394007904,0.9899261712550887,1.0301805255454102,1.019802663354723,0.9131221907523244,False,0,14,0.0,40.0,Fair
1,101,400,2,600,32.407069,-86.281504,11010004002,0.5425909639459475,21,0.6588989400053933,1.638236380836747,2.649032968661626,0.0621929138596637,0.056029529109311,0.0587009344024055,0.0592963045973804,Excellent,0.7191146681248214,21,1.3253347657969088,0.1765237041788738,0.7191146681248214,21,1.3253347657969088,0.7673953297625113,21,1.414316457063149,1.0,1.0671390305020303,1.0671390305020303,0.7189343742120815,False,0,6,0.0,40.0,Fair
1,101,400,3,768,32.404175,-86.280336,11010004003,0.3305501887056021,21,0.3786209400060514,1.4229040088783318,2.5670673434561175,0.0291141207085499,0.0218899859539914,0.0506337443346975,0.0334027673700266,Excellent,0.4638547479090807,21,1.403280844356751,0.1333045592034786,0.4638547479090807,21,1.403280844356751,0.5120111349994408,21,1.548966397521719,1.0,1.1038178164768924,1.1038178164768924,0.46374236974411304,False,0,6,0.0,40.0,Fair
1,101,400,4,492,32.401294,-86.281484,11010004004,0.1831916833222144,21,0.2590439400059452,1.2778194410059875,2.37681229563239,0.0061258935003196,0.0073247894280533,0.0451983108498357,0.0182072874834945,Excellent,0.2951520499086582,21,1.6111651170840413,0.1119603665864437,0.2951520499086582,21,1.6111651170840413,0.3429977506306933,21,1.8723434623797703,1.0,1.1621052631578948,1.1621052631578948,0.29508912599771897,False,0,2,0.0,50.0,Fair
1,101,400,5,718,32.398316,-86.277825,11010004005,0.143923648333343,21,0.1989090599939018,0.9831429376452152,2.4596813758326266,0.0,0.0,0.0341585803184781,0.0102475740955434,Excellent,0.0789143375545254,21,0.5483069562810908,-0.0650093107788176,0.0789143375545254,21,0.5483069562810908,0.154100438689152,21,1.0707096469111068,1.0,1.952755905511811,1.952755905511811,0.07886276193421658,False,0,2,0.0,50.0,Fair
1,101,400,6,520,32.392249,-86.286116,11010004006,0.5497527283909677,18,0.6845579699991688,1.061128602469367,1.7529666083683897,0.0633101637112797,0.0591549530162826,0.037080227328499,0.0541946195879464,Excellent,0.4034573179067195,18,0.7338887049957354,-0.1462954104842481,0.3901599413424136,18,0.7097007821759159,0.3790373693563821,18,0.689468828041581,0.96704142923148,0.971492275840102,0.9394732789157554,0.38999318191201005,True,1,12,8.333333333333332,81.66666666666667,Excellent
1,101,400,7,450,32.387629,-86.282926,11010004007,0.3460658009021353,18,0.4672300500016249,0.7402555816998921,1.819795170153747,0.0315345878374796,0.0326831075498906,0.025059073135079,0.0299364893404827,Excellent,0.3632545018454771,18,1.0496688805959264,0.0171887009433417,0.3646836591397716,18,1.0537986076321402,0.3628816782034871,18,1.0485915604995224,1.003934314060896,0.995058783438405,0.998973657201505,0.36450390373856467,True,1,9,11.11111111111111,82.22222222222223,Excellent
1,101,500,1,1596,32.379782,-86.28537,11010005001,0.4602192619437676,16,0.5942279999999585,0.9608557187553916,1.556450489261706,0.0493427604448461,0.0481522203401039,0.0333236142182601,0.0441798545454476,Excellent,0.8433270781811179,16,1.8324462879264725,0.3831078162373502,0.6963724259634385,16,1.5131318559381062,0.6903451104179353,16,1.500035238643023,0.825744179192455,0.9913446952797358,0.8185971117005599,0.6961364176571322,True,1,16,6.25,71.25,Good
1,101,500,2,661,32.382365,-86.277859,11010005002,0.5257726612734186,18,0.5671710300008286,0.415143280888279,2.085601613132984,0.0595692243611377,0.0448565189474165,0.0128790989856109,0.0411483751243633,Excellent,0.6512607652826624,18,1.238673695405372,0.1254881040092438,0.6445499397268446,18,1.225909955389746,0.6275864640163048,18,1.1936460570169125,0.9896956397290336,0.973681673575629,0.9636485068218682,0.6443458409491593,False,0,13,0.0,40.0,Fair
1,101,500,3,645,32.385643,-86.276811,11010005003,0.3194226227699517,18,0.4133010300015058,0.2998093273566633,2.1919350342951063,0.0273781977406984,0.0261142291305267,0.0085582394885566,0.0213530196820043,Excellent,0.4538506468490189,18,1.420846910946199,0.1344280240790671,0.4555283532379733,18,1.4260992201734095,0.4368250338648142,18,1.3675456987885788,1.003696604600219,0.9589414813804394,0.962486308871851,0.4553288833543894,False,0,9,0.0,50.0,Fair
1,101,600,1,1182,32.374026,-86.292024,11010006001,0.2346370541325671,16,0.2620619999997373,0.5586497209989497,1.1536764344441106,0.0141514762104804,0.0076924072553664,0.0182554096526225,0.0134449355565888,Excellent,0.2677495122224017,16,1.1411220329723644,0.0331124580898345,0.2677495122224017,16,1.1411220329723644,0.2653261585494675,16,1.1307939384525405,1.0,0.9909491761429567,0.9909491761429567,0.26767820518709395,False,0,5,0.0,50.0,Fair
1,101,600,2,581,32.369352,-86.291031,11010006002,0.5334221777597792,15,0.594573000000068,0.7229812789172322,1.3493310961672162,0.0607625645254129,0.0481942434114558,0.0244119104137128,0.0460868719577157,Excellent,0.5608510321001157,16,1.0514205360855633,0.0274288543403364,0.5608510321001157,16,1.0514205360855633,0.5604782084581257,16,1.0507216081865476,1.0,0.9993352537115,0.9993352537115,0.5606618512976146,False,0,10,0.0,40.0,Fair
1,101,700,1,519,32.362934,-86.311954,11010007001,0.3407776776154387,14,0.4622310000027738,1.1475861116237642,1.1570239071219812,0.0307096298257012,0.0320741932463356,0.0403192626522906,0.0340018886998683,Excellent,0.3781053102514074,14,1.1095366131290214,0.0373276326359687,0.3781053102514074,14,1.1095366131290214,0.3784159966197323,14,1.1104483112499162,1.0,1.000821692686935,1.000821692686935,0.37801369941064444,False,0,6,0.0,50.0,Fair
1,101,700,2,478,32.36165,-86.3034,11010007002,0.6906789638211903,15,0.7138657199977345,0.922105684019088,1.2511357336438351,0.0852949436955896,0.0627248129263137,0.0318718868606642,0.0624969874143292,Excellent,0.7895161991872445,15,1.1431015573707874,0.0988372353660541,0.7469521667267327,15,1.08147519448719,0.7667739570258616,15,1.1101741868373618,0.946088462143869,1.0265368937692372,0.971194711160082,0.7468057388844251,True,7,23,30.434782608695656,76.08695652173913,Good
