GEOID,full_geoid,center_lon,center_lat,poll_lon,poll_lat,poll_idx,osrm_distance_miles,osm_way_ids,num_way_ids,osm_way_ids_str
11010001001,011010001001,-86.308949,32.379105,-86.2916,32.3774,16,1.1689885294592814,[],0,
11010002001,011010002001,-86.304582,32.372445,-86.2916,32.3774,16,1.086780916400512,[],0,
11010002002,011010002002,-86.315858,32.370889,-86.31629181000001,32.36057280999997,14,0.7947357301751029,[],0,
11010003001,011010003001,-86.293391,32.412411,-86.2791,32.4176,22,1.0396187256887917,[],0,
11010003002,011010003002,-86.298449,32.394912,-86.29542541999996,32.39638138,20,0.20126262940087242,[],0,
11010004001,011010004001,-86.281546,32.409662,-86.2791,32.4176,22,0.913417922875216,[],0,
11010004002,011010004002,-86.281504,32.407069,-86.27957915999995,32.399444579999965,21,0.7191146681248214,[],0,
11010004003,011010004003,-86.280336,32.404175,-86.27957915999995,32.399444579999965,21,0.46385474790908077,[],0,
11010004004,011010004004,-86.281484,32.401294,-86.27957915999995,32.399444579999965,21,0.29515204990865823,[],0,
11010004005,011010004005,-86.277825,32.398316,-86.27957915999995,32.399444579999965,21,0.07891433755452547,[],0,
11010004006,011010004006,-86.286116,32.392249,-86.27848471,32.38995916000002,18,0.39015994134241366,[],0,
11010004007,011010004007,-86.282926,32.387629,-86.27848471,32.38995916000002,18,0.3646836591397716,[],0,
11010005001,011010005001,-86.28537,32.379782,-86.2916,32.3774,16,0.6963724259634385,[],0,
11010005002,011010005002,-86.277859,32.382365,-86.27848471,32.38995916000002,18,0.6445499397268446,[],0,
11010005003,011010005003,-86.276811,32.385643,-86.27848471,32.38995916000002,18,0.45552835323797336,[],0,
11010006001,011010006001,-86.292024,32.374026,-86.2916,32.3774,16,0.26774951222240173,[],0,
11010006002,011010006002,-86.291031,32.369352,-86.2916,32.3774,16,0.5608510321001157,[],0,
11010007001,011010007001,-86.311954,32.362934,-86.31629181000001,32.36057280999997,14,0.3781053102514074,[],0,
11010007002,011010007002,-86.3034,32.36165,-86.293396,32.36199187999997,15,0.7469521667267327,[],0,
11010009001,011010009001,-86.348277,32.378299,-86.3536,32.38,17,0.32559931400449876,[],0,
11010009002,011010009002,-86.353236,32.389821,-86.3536,32.38,17,0.791193905576199,[],0,
