STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE,GEOID,geometry,min_network_dist_miles,nearest_poll_network_idx
1,101,1800,2,1116,32.391625,-86.268629,011010018002,POINT (-86.268629 32.391625),1.0102277952452559,18
1,101,1800,3,1260,32.386239,-86.265845,011010018003,POINT (-86.265845 32.386239),1.1087153740042501,41
1,101,1900,1,868,32.399366,-86.254102,011010019001,POINT (-86.254102 32.399366),1.4905489206755567,44
1,101,1900,2,726,32.388458,-86.248359,011010019002,POINT (-86.248359 32.388458),0.4961661302148707,44
1,101,1900,3,648,32.38887,-86.253518,011010019003,POINT (-86.253518 32.38887),0.7477599512843776,44
1,101,1900,4,868,32.397126,-86.249219,011010019004,POINT (-86.249219 32.397126),1.2688431282389054,44
1,101,2000,1,1492,32.338892,-86.265492,011010020001,POINT (-86.265492 32.338892),0.6459790970211391,33
1,101,2000,2,1468,32.333568,-86.275806,011010020002,POINT (-86.275806 32.333568),1.2596468117364883,33
1,101,2000,3,1133,32.346434,-86.274689,011010020003,POINT (-86.274689 32.346434),1.1788683559720134,12
1,101,2000,4,657,32.349351,-86.26699,011010020004,POINT (-86.26699 32.349351),1.4915431170541962,33
1,101,2100,1,833,32.338882,-86.28592,011010021001,POINT (-86.28592 32.338882),0.8231324642399991,6
1,101,2100,2,1585,32.330458,-86.289605,011010021002,POINT (-86.289605 32.330458),0.4819988318192551,6
1,101,2100,3,1468,32.339216,-86.294199,011010021003,POINT (-86.294199 32.339216),0.4640411597300757,6
1,101,2201,1,810,32.341066,-86.303322,011010022011,POINT (-86.303322 32.341066),0.6319982104465185,8
1,101,2201,2,206,32.33566,-86.301926,011010022012,POINT (-86.301926 32.33566),0.8024407521095606,6
1,101,2201,3,826,32.331144,-86.303473,011010022013,POINT (-86.303473 32.331144),0.7595660332807239,6
1,101,2201,4,945,32.330424,-86.311966,011010022014,POINT (-86.311966 32.330424),0.7609951905750184,7
1,101,2201,5,967,32.339492,-86.312504,011010022015,POINT (-86.312504 32.339492),0.27334186685225,7
1,101,2202,1,884,32.32284,-86.310586,011010022021,POINT (-86.310586 32.32284),0.4936185019946065,5
1,101,2300,1,602,32.347302,-86.319184,011010023001,POINT (-86.319184 32.347302),0.7986503784159966,7
1,101,2300,2,735,32.340799,-86.320479,011010023002,POINT (-86.320479 32.340799),0.41451775261908613,7
1,101,2300,3,527,32.334569,-86.319249,011010023003,POINT (-86.319249 32.334569),0.4139585171561013,7
1,101,2300,4,637,32.330656,-86.320493,011010023004,POINT (-86.320493 32.330656),0.6997899760150125,7
1,101,2400,1,798,32.340075,-86.335925,011010024001,POINT (-86.335925 32.340075),0.807038910360769,9
1,101,2400,2,960,32.346879,-86.332025,011010024002,POINT (-86.332025 32.346879),0.7956677892800776,9
1,101,2500,1,1673,32.41724,-86.272741,011010025001,POINT (-86.272741 32.41724),0.3879851367641393,22
1,101,2500,2,642,32.41365,-86.27875,011010025002,POINT (-86.27875 32.41365),0.4565225496166131,22
1,101,2600,1,954,32.396763,-86.241793,011010026001,POINT (-86.241793 32.396763),1.3932419501161966,44
1,101,2600,2,1071,32.385056,-86.234518,011010026002,POINT (-86.234518 32.385056),0.5717871922651522,43
1,101,2600,3,1457,32.391837,-86.236866,011010026003,POINT (-86.236866 32.391837),1.1945269489355885,43
1,101,2600,4,877,32.386204,-86.22186,011010026004,POINT (-86.22186 32.386204),0.5168578423453093,43
1,101,2600,5,1099,32.391384,-86.224667,011010026005,POINT (-86.224667 32.391384),0.810332185865013,43
1,101,2700,1,785,32.373036,-86.240332,011010027001,POINT (-86.240332 32.373036),1.470167894913443,44
1,101,2700,2,2037,32.370256,-86.228376,011010027002,POINT (-86.228376 32.370256),1.7157965377111115,43
1,101,2700,3,773,32.378228,-86.232822,011010027003,POINT (-86.232822 32.378228),0.8743957150136081,43
1,101,2700,4,754,32.373482,-86.214678,011010027004,POINT (-86.214678 32.373482),1.4476120645730548,43
1,101,2800,1,1632,32.341548,-86.2565,011010028001,POINT (-86.2565 32.341548),0.9016118408788697,33
1,101,2800,2,1387,32.333911,-86.244349,011010028002,POINT (-86.244349 32.333911),1.1307741061553183,32
1,101,2800,3,1060,32.332587,-86.257874,011010028003,POINT (-86.257874 32.332587),0.392272608647023,33
1,101,2800,4,869,32.331936,-86.249118,011010028004,POINT (-86.249118 32.331936),0.9400126760038277,32
1,101,2901,1,2163,32.319999,-86.243421,011010029011,POINT (-86.243421 32.319999),0.8707296158673742,32
1,101,2901,2,1150,32.31292,-86.242732,011010029012,POINT (-86.242732 32.31292),0.8369269389936248,30
1,101,2902,1,1066,32.323024,-86.256368,011010029021,POINT (-86.256368 32.323024),1.1184087886959873,33
1,101,2902,2,1230,32.317935,-86.253516,011010029022,POINT (-86.253516 32.317935),0.9216200429989935,30
1,101,2902,3,1579,32.310367,-86.250243,011010029023,POINT (-86.250243 32.310367),0.2022568257795121,30
1,101,3000,1,906,32.363073,-86.364646,011010030001,POINT (-86.364646 32.363073),2.528924900891049,13
1,101,3000,2,775,32.347694,-86.364085,011010030002,POINT (-86.364085 32.347694),0.7623000733219829,10
1,101,3000,3,223,32.336653,-86.354258,011010030003,POINT (-86.354258 32.336653),2.508792424223595,9
1,101,3100,1,1163,32.321724,-86.286795,011010031001,POINT (-86.286795 32.321724),1.1071619421626258,5
1,101,3100,2,1062,32.314197,-86.28631,011010031002,POINT (-86.28631 32.314197),1.4066636012278326,5
1,101,3100,3,1211,32.319457,-86.294602,011010031003,POINT (-86.294602 32.319457),0.9761144320031815,5
1,101,3200,1,671,32.296381,-86.253117,011010032001,POINT (-86.253117 32.296381),1.3629810978413512,29
1,101,3200,2,1366,32.324226,-86.272341,011010032002,POINT (-86.272341 32.324226),1.137919892626791,33
1,101,3200,3,858,32.318286,-86.268865,011010032003,POINT (-86.268865 32.318286),1.3517342513079897,33
1,101,3200,4,970,32.301885,-86.268381,011010032004,POINT (-86.268381 32.301885),1.4579889892751068,30
1,101,3200,5,639,32.309879,-86.260681,011010032005,POINT (-86.260681 32.309879),0.6876732076503412,30
1,101,3200,6,1237,32.304962,-86.257777,011010032006,POINT (-86.257777 32.304962),0.7568941305131296,30
1,101,3301,1,650,32.360071,-86.269263,011010033011,POINT (-86.269263 32.360071),1.582325673878733,15
1,101,3301,2,1024,32.358802,-86.262803,011010033012,POINT (-86.262803 32.358802),1.5720730237240113,36
1,101,3301,3,622,32.355563,-86.250664,011010033013,POINT (-86.250664 32.355563),0.8874445424832541,36
1,101,3301,4,1174,32.34814,-86.251837,011010033014,POINT (-86.251837 32.34814),0.6216834230181317,36
1,101,3303,1,1320,32.343551,-86.242278,011010033031,POINT (-86.242278 32.343551),0.5707929958865126,36
1,101,3303,2,1332,32.340085,-86.233975,011010033032,POINT (-86.233975 32.340085),1.2152186610660272,36
1,101,3304,1,898,32.352123,-86.230584,011010033041,POINT (-86.230584 32.352123),1.498191805336349,36
1,101,3304,2,1343,32.353994,-86.237123,011010033042,POINT (-86.237123 32.353994),1.456497694707147,36
1,101,3304,3,1482,32.35269,-86.226213,011010033043,POINT (-86.226213 32.35269),1.2184497992966061,37
1,101,5101,1,968,32.452586,-86.246323,011010051011,POINT (-86.246323 32.452586),2.1403805286639246,24
1,101,5101,2,1995,32.409304,-86.196477,011010051012,POINT (-86.196477 32.409304),1.2785986802043072,46
1,101,5101,3,641,32.428719,-86.205483,011010051013,POINT (-86.205483 32.428719),1.460474480221706,48
