GEOID,poll_0,poll_1,poll_2,poll_3,poll_4,poll_5,poll_6,poll_7,poll_8,poll_9,poll_10,poll_11,poll_12,poll_13,poll_14,poll_15,poll_16,poll_17,poll_18,poll_19,poll_20,poll_21,poll_22,poll_23,poll_24,poll_25,poll_26,poll_27,poll_28,poll_29,poll_30,poll_31,poll_32,poll_33,poll_34,poll_35,poll_36,poll_37,poll_38,poll_39,poll_40,poll_41,poll_42,poll_43,poll_44,poll_45,poll_46,poll_47,poll_48
011010001001,14.989277766726905,9.508769032522773,10.05280740452646,6.253532265371085,6.959899638405765,3.9596958768895845,3.323701477317688,2.863468845963924,2.2905266410970277,2.9836091023618327,3.8519927631390054,10.117856597316743,2.2517133591371357,2.0766554184385635,1.3754366002902223,1.5956086788212975,1.2028479814944746,3.08153785707506,2.231470832706885,5.782835201902543,1.5138551598055352,2.4650350348712506,3.361105960779087,4.161856948548503,5.231178801145135,25.554990368920087,23.444594488949754,27.62442709057529,18.974550745216565,7.493663321156237,6.183666349033394,18.666174600281437,6.024993135124054,4.622302650112581,7.696955313629198,12.994388005576365,4.9230593458912875,7.153102583480257,9.66994443881012,14.415301247136126,12.37373448577474,3.6514084702988683,7.717819060362491,5.6206351069384874,4.029356065407466,7.664835557934505,9.038797319820604,6.311994731019706,6.854512902005548
011010002001,14.67535392122513,9.018676842368418,9.85060017826667,6.004853524235384,6.880142093680243,3.4762299625220088,2.799183694536584,2.4882210948214314,1.85676608576015,2.8967486072219213,3.889012389312195,10.336026056642988,1.7031043399689796,2.085975753518459,1.1506017320339066,1.056385974770532,0.9587880816887301,3.422179046103669,2.1686364611415323,6.163579355591207,1.7683304664288326,2.5390868677068577,3.5775727145075185,4.482872782311155,5.466559498185854,25.014990190635437,22.921022988817874,27.07705196106841,18.426780908807444,6.948759999443917,5.636212888788854,18.26115460501848,5.505179520294977,4.087380181711149,7.260610024826719,12.613470361838397,4.469169718915644,6.7546816697896235,9.297563440875864,14.067997550158326,12.055731886986074,3.374787037437598,7.4406918467905045,5.361727768286609,3.7902276833552095,7.426014254253685,8.854320603340236,6.244403791580935,6.8348610842507025
011010002002,14.291049306225965,9.021690804223473,9.317035960002203,5.532674274300728,6.22387974664271,3.495509691591827,2.990915097961734,2.2571489438858534,1.786450790464378,2.243722732616937,3.1487240610706766,9.55065573412834,2.1959656979426323,1.3535520135134063,0.7124461916489327,1.6670322721750226,1.7330455228544766,2.6790034269263936,2.895069145837066,5.433957715050069,2.2542541440867923,3.185660118152578,4.101333582225175,4.878006465461527,5.968344336077856,25.224419350944306,23.03685580200381,27.48414995866165,18.719515009526745,7.407133880029795,6.0738032560701,18.994080584558635,6.08794556963481,4.626709356201203,7.9746831164499605,13.36425881960479,5.173829053058595,7.499660972157188,10.054777946042678,14.83451000570372,12.832259226628361,4.1601297274533335,8.225083346009882,6.147142102188956,4.574574746817506,8.211177451296768,9.633649888325845,6.984084913895209,7.550549877332753
011010003001,17.520481630074077,11.734046225874366,12.56620543887402,8.788248713641584,9.370697765840651,6.258895127562888,5.47073172126251,5.350677693027969,4.71414525110264,5.457298311161,6.15897868320677,11.798552396478684,4.124772904800398,4.504133902591813,3.9103250556501887,3.4789192971086225,2.418917798380307,4.718105066880247,1.8595245260865199,6.9383736245868155,1.1149161306060305,1.307172123616237,1.0490687069596913,1.6264086030641822,2.7551386504281736,27.325764043230773,25.41829010612653,28.853039846213477,20.575215319892205,8.853548723563895,7.674310433240276,18.385565647934985,7.067319201195667,5.961580446824558,7.914378686998666,12.643831631379735,5.508180047310019,7.150067861113438,9.36608256846349,13.83272220017707,11.667978984613832,3.4862580127039626,6.978195390629447,4.977857716535607,3.575449046211485,6.734323294327012,7.779536652607778,4.712014376952711,5.030525807203517
011010003002,16.269851505813367,10.535929610825338,11.362190926069223,7.556939393499791,8.242861124207145,5.028762878076681,4.271126247280919,4.093936630410237,3.459436965236198,4.2822644440242135,5.08348063423694,11.080649096398721,2.9713321818327834,3.3526840178228676,2.670171480889609,2.2980906661477585,1.2974549538016988,3.942068821664806,1.4192941062453985,6.444931637455684,0.2319581898851665,1.3390536569611595,2.057460536522264,2.8789801186435207,3.921855005094739,26.304397155345544,24.317459328758446,28.05966367009581,19.61671271087371,7.954720622127619,6.713093328226229,18.286386215388834,6.278199420555725,5.033070362692012,7.511074516661673,12.560810973765753,4.885128810874472,6.843442104245115,9.237770803178332,13.874297149719498,11.764542945815371,3.1407467871229584,7.053290292809972,4.960332662966821,3.3955439670040692,6.91169598726271,8.155201593505417,5.257936886364954,5.725078875073013
011010004001,17.66477197550813,11.565854780461144,12.862312258099417,9.024894983567766,9.78638068822582,6.204855987068305,5.356298292677719,5.469852879646879,4.790897521004513,5.8156248915759,6.630768810409467,12.500440312941253,3.9674731702898303,4.896343935860521,4.149774895579576,3.3893421168612448,2.3316687211433766,5.376518413876641,1.375807748167671,7.707355435277989,1.3254703650611541,0.7179453516076519,0.573135282773938,1.7045357011103976,2.455719222179831,26.89290163669892,25.0738053847801,28.246967483285445,20.092265190753555,8.35866232560537,7.239513444849408,17.558685241474574,6.512896405115007,5.52233285408887,7.170712486121428,11.817620225912087,4.880936656813974,6.380619625927251,8.549769081960862,12.995618293213738,10.829359878929317,2.7846243487465614,6.142476210911767,4.157709766568266,2.81122412239261,5.89530264508607,6.954687461932022,3.912231575931648,4.282700291252431
011010004002,17.50308106598308,11.387464462751574,12.718762534187215,8.875270649642088,9.662593505526095,6.031512334627132,5.180504947075388,5.3103675323718385,4.628350186121755,5.68623020294887,6.520293428624514,12.44583192382278,3.7908861895966277,4.77446582702607,4.0068077262078905,3.216737086729072,2.16244148066415,5.313700696736469,1.198819623846434,7.683553027148883,1.2110063311540789,0.5425909639459475,0.7453315260318694,1.8826735374186487,2.617742392336682,26.721202376975874,24.897272528792598,28.094830331353695,19.92440028326331,8.19059194440237,7.066350341517125,17.486712020848845,6.350703509590303,5.348832175749495,7.049679887912385,11.744918012579662,4.728809693801397,6.269670705635272,8.467260863223142,12.941450140005044,10.781866299426117,2.646480405416342,6.085322602437256,4.078637317693695,2.695524590109001,5.853878660519901,6.948148479084647,3.9330160277072763,4.333689923689914
011010004003,17.35566729936769,11.193620992226716,12.605807497786747,8.75237945350285,9.58281938088703,5.857826997125744,4.999183134624016,5.1700566041306795,4.482076253047322,5.5998666464787705,6.4625832309192575,12.4614826718457,3.607142449581649,4.701245372662626,3.899550884408089,3.0469412585071742,2.004302518653522,5.3233150397357845,0.9891755423843146,7.738712769182508,1.171844916459569,0.3305501887056021,0.9302426383910896,2.090616561849522,2.773382003240491,26.50657827657695,24.686378580593793,27.88334528226224,19.70908046782244,7.975275633992891,6.852342817148038,17.33646259023742,6.135987573036306,5.13500746926486,6.85837224673959,11.594666135169694,4.517835233019229,6.0866417578243475,8.308555157520955,12.809120923866692,10.65676683439763,2.444730103106015,5.952516095172144,3.926172791859219,2.511550481430441,5.737564182706835,6.86894868513473,3.8899265564918775,4.326422733664295
011010004004,17.142048158285363,10.989894688402398,12.399304850605004,8.543240343901326,9.389553238245893,5.6454222758518195,4.788865614294259,4.957516120867731,4.268782208540084,5.404540306862929,6.281459673587346,12.327810866784805,3.3976339206497443,4.512779158885289,3.6963648102618443,2.833668273377236,1.7903561407193052,5.18839254083646,0.8090212140518515,7.640284908823632,1.0199335002700343,0.1831916833222144,1.1370753919649166,2.279411519188896,2.987299204197487,26.340682056557025,24.505160193548253,27.759927550147765,19.55312171432035,7.81992903312082,6.683234081337856,17.336710130109235,5.99527728465959,4.965249200775761,6.793289262703573,11.596033112235782,4.400248629210994,6.038539835872704,8.299085664954296,12.83386975777415,10.691069674633104,2.36237527789964,5.980289725034733,3.9309883863519097,2.46952411995033,5.7855195658999845,6.955207027566758,4.012642977966802,4.475615520209523
011010004005,17.066097705501107,10.8045719106807,12.391729304038478,8.52080353520098,9.441968450311691,5.518257886562801,4.643501395407695,4.908068579706659,4.2093257568180436,5.4546318671651814,6.374967742417149,12.514205546037552,3.249590560911742,4.588730041339608,3.718481549171222,2.7269387809906975,1.7280742204084705,5.379047441325996,0.5784159007517681,7.877345820449865,1.2217434271734535,0.14392364833334303,1.3335011495460813,2.517216160292843,3.1077948762134344,26.069112679879595,24.257893552032634,27.449865121517373,19.269500605232576,7.535726595583135,6.416730774342328,17.027124908394377,5.696894669673219,4.700032582212713,6.467784168850207,11.287456114466504,4.086310882280168,5.7145519571223815,7.98606222419288,12.53846071462537,10.402626763091783,2.0373183349335946,5.68921696627038,3.6273686107696297,2.148130293692357,5.510282491491834,6.716816678383227,3.82878171689345,4.335497514769753
011010004006,16.44131045842241,10.350017027391871,11.709270991886415,7.847721271227742,8.73536256256774,4.963181727084339,4.120389410114478,4.256585846228912,3.5676550569791408,4.747848786832635,5.667515884426437,11.854573827039719,2.7370355342609303,3.8799285049032903,3.0186695820501486,2.1473213626805667,1.092222394192915,4.7324786984805645,0.5497527283909677,7.292279898605301,0.7027908794348061,0.6707802580326467,1.8149721190083392,2.897039637695003,3.684450454534692,25.84707701471077,23.953845671663313,27.419819548372875,19.09872325801888,7.382637793210094,6.195632406157011,17.42167698914199,5.622975797216025,4.484013387585035,6.689398286005687,11.693595612994082,4.131955722371695,5.998382543301773,8.372323374968708,13.003751958454057,10.895736254585325,2.285256943711752,6.185905991319645,4.090777189082009,2.5255019037375708,6.054393059752337,7.330712810593632,4.509136869378886,5.037033147159328
011010004007,16.24905968720905,10.042599470137231,11.597186170110554,7.7195960456840655,8.70103605692162,4.710077236003455,3.8449560400157874,4.097787227409777,3.396518015869915,4.721045310132235,5.696199548676319,11.995930658643188,2.4520987503244527,3.8951266633379653,2.964041710138091,1.910792797517753,0.9253996345560563,4.904835245024488,0.34606580090213535,7.517664779797831,1.0528768219572446,0.8473505345389472,2.0847812105921513,3.2150081249721727,3.913166735977266,25.474802496577606,23.597910817383852,27.032432855454037,18.71905280759795,6.999457113686829,5.819674815711379,17.11127079872355,5.235632120834892,4.105734906892546,6.333776265366276,11.390663090252344,3.7513009313556585,5.6603278996047175,8.064822970751184,12.726897011581666,10.63532084074421,1.961918393829694,5.936009498947713,3.833204307436053,2.2467392236173103,5.834588069027195,7.163063642648627,4.435243111873467,5.010787007028819
