STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE,GEOID,geometry,min_dist_to_poll_miles,nearest_polling_idx,min_manhattan_dist_miles,min_dist_to_civic_center_miles,dist_to_city_hall_miles,min_dist_to_poll_miles_norm,min_manhattan_dist_miles_norm,min_dist_to_civic_center_miles_norm,accessibility_score,accessibility_category
1,101,100,1,982,32.379105,-86.308949,011010001001,POINT (-86.308949 32.379105),1.2028479814944746,16,1.3147259999997942,0.07136968562368329,0.07136968562368329,0.1651943544330774,0.1359132025234134,0.0,0.10685170253025497,Excellent
1,101,200,1,900,32.372445,-86.304582,011010002001,POINT (-86.304582 32.372445),0.9587880816887301,16,1.2376529999997459,0.34314823850467774,0.5205155712455442,0.12712051258353269,0.12652524838638596,0.010181884045010331,0.09186034476283196,Excellent
1,101,200,2,540,32.370889,-86.315858,011010002002,POINT (-86.315858 32.370889),0.7124461916489327,14,0.7417500000020709,0.7935026549961463,0.7935026549961463,0.08869067560597765,0.06612128564470511,0.02705391606985626,0.06342883075675947,Excellent
1,101,300,1,999,32.412411,-86.293391,011010003001,POINT (-86.293391 32.412411),1.0490687069596913,22,1.2464187599969705,2.372561364880268,2.50061772971418,0.1412044741494453,0.1275929705826166,0.08621161086906225,0.12062316409528177,Excellent
1,101,300,2,262,32.394912,-86.298449,011010003002,POINT (-86.298449 32.394912),0.2319581898851665,20,0.31001424000345423,1.2652663130123147,1.2652663130123147,0.01373356792741913,0.013533277987300366,0.044728021740268936,0.02297181708923844,Excellent
1,101,400,1,719,32.409662,-86.281546,011010004001,POINT (-86.281546 32.409662),0.573135282773938,22,0.7164960000006246,1.8060635790470114,2.7796915096781047,0.06695788985688655,0.06304519682255053,0.06498839547562761,0.06519323363220807,Excellent
1,101,400,2,600,32.407069,-86.281504,011010004002,POINT (-86.281504 32.407069),0.5425909639459475,21,0.6588989400053933,1.638236380836747,2.649032968661626,0.06219291385966374,0.056029529109311,0.058700934402405536,0.05929630459738046,Excellent
1,101,400,3,768,32.404175,-86.280336,011010004003,POINT (-86.280336 32.404175),0.3305501887056021,21,0.3786209400060514,1.4229040088783318,2.5670673434561175,0.029114120708549993,0.021889985953991404,0.05063374433469751,0.03340276737002667,Excellent
1,101,400,4,492,32.401294,-86.281484,011010004004,POINT (-86.281484 32.401294),0.1831916833222144,21,0.2590439400059452,1.2778194410059875,2.37681229563239,0.006125893500319653,0.0073247894280533635,0.04519831084983572,0.018207287483494587,Excellent
1,101,400,5,718,32.398316,-86.277825,011010004005,POINT (-86.277825 32.398316),0.14392364833334303,21,0.19890905999390185,0.9831429376452152,2.4596813758326266,0.0,0.0,0.03415858031847819,0.010247574095543456,Excellent
1,101,400,6,520,32.392249,-86.286116,011010004006,POINT (-86.286116 32.392249),0.5497527283909677,18,0.6845579699991688,1.061128602469367,1.7529666083683895,0.06331016371127976,0.05915495301628264,0.03708022732849905,0.054194619587946406,Excellent
