GEOID,poll_0,poll_1,poll_2,poll_3,poll_4,poll_5,poll_6,poll_7,poll_8,poll_9,poll_10,poll_11,poll_12,poll_13,poll_14,poll_15,poll_16,poll_17,poll_18,poll_19,poll_20,poll_21,poll_22,poll_23,poll_24,poll_25,poll_26,poll_27,poll_28,poll_29,poll_30,poll_31,poll_32,poll_33,poll_34,poll_35,poll_36,poll_37,poll_38,poll_39,poll_40,poll_41,poll_42,poll_43,poll_44,poll_45,poll_46,poll_47,poll_48
011010001001,16.800986739905802,9.906110579492214,11.04508680577131,6.661799246896244,7.646302210844198,4.2614363652180405,3.8187704276287175,3.1169299215827606,2.3998657834888837,3.308312724470901,4.146544546211491,9.53626952663825,2.611878161233798,2.273540706127978,1.5908384803708353,1.9581940422782012,1.1689885294592814,,2.203263449612885,6.363416058757006,1.7386009171461594,3.0672822399244413,3.772478158748307,4.546460039519307,5.473548162600817,28.339629910398052,24.96830999043086,29.17183441659314,20.06598978463221,7.741496514098948,6.478183603216226,18.327513142033382,6.589968558539526,5.117190898132153,7.66966582574223,12.330458448805102,5.075310375681957,7.699678128922415,10.24190040637777,13.454459592130936,11.217766289286292,3.7055563150111226,6.8464090869549015,5.199522785738253,3.7345744218126686,6.9698758497272175,8.330309319348304,6.307554649732189,10.26259211850821
011010002001,16.90003355412778,9.583990952812954,11.14413361999329,6.7609081983918875,7.745349025066177,3.7708625896330177,3.1243863944225585,3.0495109796562567,2.1403805286639246,3.4073595386928806,4.24559136043347,9.901574558514671,1.9175562653013036,2.3725875203499576,1.478929250500205,1.263872146345707,1.086780916400512,,2.3655038711521494,6.728783227907092,1.938496526526402,3.227844955074751,3.972311630854885,5.037593050567313,5.741421949370549,27.800029825891357,24.6461903637516,28.477512520660646,19.371605751426053,7.047112480892789,5.783799570010067,17.77306224912076,5.895646662607032,4.4228690021996595,6.975281792536071,11.636074415598943,4.380988479749463,7.016665216796949,9.596604819366947,13.465022928653983,11.228267488535673,3.716057514260504,6.8569724234779486,5.210086122261299,3.7451377583357153,6.980377048976599,8.340810518597687,6.469795071271453,10.53046590527794
011010002002,16.099021959312513,9.72914362409435,10.343122025178022,5.959834466302957,6.944275292977246,4.0844694098201755,3.69828625399232,2.3208271713870285,2.2228988280910187,2.606285806603949,3.444517628344539,9.345694508307753,2.4914561248710654,1.5715137882610264,0.7947357301751029,1.8377720059154685,1.76855108305268,,2.9998632979979374,6.181167435097618,2.5516671430524314,3.862266519194204,4.585544384654579,5.401282513328446,6.328370636409957,28.162725092273853,24.791343035032995,29.05135024295674,19.945505610995813,7.62101234046255,6.357699429579829,18.346899971416857,6.469546522176794,4.996706724495756,7.549181652105833,12.209974275168703,4.954888339319225,7.613680142170082,10.170442541663043,14.210732349907417,11.974039047062771,4.461766935513937,7.60268184473138,5.955795543514733,4.4908471795891485,7.726086470230032,9.086582077124785,7.104216635390906,11.117352455043681
011010003001,20.035356108715376,13.078404811910472,14.279456174580885,9.896168615705818,10.880671579653772,6.86908919184262,6.213292405582412,6.351299290392335,5.61230069469472,6.542682093280475,7.380913915021065,12.581368759864294,4.867647607093591,5.507910074937553,4.825207849180409,4.137348229709073,3.1614823468005517,,2.943194104415475,9.408577429256715,1.5570979407707508,1.7062273975667046,1.0396187256887917,2.1049001454012206,2.8087290442044566,30.809213714939045,28.14060422284912,31.486634272434664,22.380789640473736,10.056296369940473,8.792983459057751,18.573576745746706,8.53672934246337,7.168528713634161,9.057501833049574,13.221631227708253,6.668696484273057,8.517280375806232,10.487964010091094,13.700585333117926,11.463829892999616,4.1459231734748405,7.092472690668225,5.4456485267252415,3.981135123715312,6.861756993550151,8.222190463171238,4.535213192985944,7.597710862838182
011010003002,18.276933401270085,11.319982104465186,12.521033467135595,8.137808045534195,9.122248872208482,5.249916114680552,4.603439919470094,4.592876582947047,3.8538779872494313,4.784259385835187,5.622491207575776,10.82300818969267,3.399840928579418,3.749487367492264,3.0668472790087864,2.684454496874495,1.7085886139659736,,2.435159754930593,7.6502168590850905,0.20126262940087242,1.5299439521791542,2.23513987100302,3.3004212907154487,4.004250189518685,29.279083350938897,26.382181515403833,29.956503908434513,20.85065927647359,8.526166005940324,7.262853095057602,18.566493096548896,7.377931325885146,5.901922527247195,8.45762859308785,13.11842121615072,5.863273143027577,8.224924503212497,10.480880360893286,13.693439546646452,11.456746243801808,4.020716567039905,7.085389041470417,5.438502740253769,3.9740514745175046,6.908173536977892,8.268607006598979,5.392956118657338,8.79323200815241
011010004001,19.937800589061357,12.980787154982789,14.181900654926865,9.798613096051797,10.783116059999752,6.7715336721886,6.115674748654729,6.253743770738315,5.5146830377670355,6.445064436352791,7.283358395367045,12.483813240210274,4.770092087439572,5.410292418009868,4.72765232952639,4.039792710055053,3.063926827146532,,2.1284501721202482,9.311021909602696,1.4595424211167312,0.8914834652714778,0.913417922875216,2.270993077907714,2.9748841139846154,30.21145314228193,28.0430487031951,30.888935837051218,21.783091205090287,9.458597934557025,8.195285023674302,18.101954838629503,7.721985410168143,6.353784781338934,8.585879925932371,12.749947183317385,6.155753290168641,8.045596331415364,10.016279965700226,13.228901288727055,10.992207985882413,3.5606521928243877,6.620850783551021,4.973964482334374,3.5094510793244433,6.432636981619794,7.793070451240882,4.123678029502778,7.763865932618342
011010004002,19.851243366846038,12.894292070041136,14.095343432711548,9.712118011110146,10.696558837784435,6.684976449973281,6.029179663713075,6.167186548522998,5.428187952825382,6.358569351411138,7.196801173151727,12.39731815526862,4.683534865224253,5.323797333068214,4.641157244584737,3.953235487839736,2.9773696049312144,,1.9560813749735917,9.22452682466104,1.373047336175078,0.7191146681248214,1.2176420147389613,2.575217169771459,3.27910820584836,30.03914648240894,27.956491480979782,30.71656703990456,21.61072240794363,9.286229137410368,8.022916226527645,17.929586041482846,7.549616613021487,6.181415984192278,8.413511128785714,12.577578386170728,5.983384493021984,7.8732275342687075,9.843973305827234,13.0565324915804,10.819839188735756,3.3882833956777314,6.4484819864043645,4.801595685187717,3.3370822821777875,6.260268184473138,7.6207016540942245,4.110504927485802,8.068090024482085
011010004003,19.939726844544968,12.982775547740069,14.18382691041048,9.800539351535413,10.785042315483366,6.773459927672214,6.036636136552873,6.25567002622193,5.516671430524315,6.447052829110071,7.2852846508506595,12.485739495693887,4.483080020381026,5.412280810767148,4.729578585010004,3.9507499968931366,2.782879938359825,,1.700821454757851,9.31294816508631,1.4614686766003455,0.46385474790908077,1.3423515229845777,2.699926678017076,3.4038177140939765,29.783824424919537,28.044974958678715,30.46130711968882,21.355462487727888,9.030969217194627,7.767656306311904,17.674326121267104,7.294356692805747,5.926156063976538,8.158251208569974,12.322318465954988,5.7281245728062435,7.617967614052966,9.588651248337829,12.801272571364658,10.564579268520015,3.1330234754619912,6.193222066188624,4.5463357649719764,3.0818223619620464,6.005008264257398,7.365441733878485,4.235276573005083,8.192799532727703
011010004004,19.511725303540583,12.554774006735682,13.755825369406093,9.37259994780469,10.35704077447898,6.3454583866678265,5.689661600407621,5.8276684852175435,5.088669889519927,6.0190512881056835,6.857283109846273,12.057800091963164,4.272310388109411,4.98427926976276,4.301639181279283,3.6137174245342814,2.57211030608821,,1.4900518224862367,8.885008761355587,1.0335292728696237,0.29515204990865823,1.788000049709819,3.174282625175538,3.8781736612524393,29.57305479264792,27.616973417674327,30.250537487417205,21.144692855456274,8.820199584923014,7.556886674040291,17.479836454695715,7.083587060534132,5.715386431704923,7.963761541998584,12.127890936657264,5.517354940534629,7.423477947481577,9.394223719040104,12.606782904793269,10.370089601948626,2.9340599251867223,5.998732399617235,4.351846098400587,2.8873948326643224,5.821516895124709,7.181950364745798,4.272683211751401,8.667155479886164
011010004005,19.79973156697777,12.753923968831945,14.043769495569613,9.660544073968211,10.6449849006425,6.551878409782893,5.567251171287609,6.115674748654729,5.3392695142107955,6.306995414269204,7.145227236009793,12.399679371667888,4.013695055115762,5.2722233959262805,4.589583307442803,3.481365031627872,2.3134328358208958,,1.231436489492587,9.226888041060311,1.4075335230591421,0.07891433755452547,1.7692967303366598,3.209514459343582,3.9133433581468178,29.31443945965427,27.81612337977059,29.99186001714989,20.88601538518896,8.561522114655698,7.298209203772975,17.132551232182138,6.824909590266818,5.4567089614376085,7.616476319485007,11.780543576870024,5.227608833434824,7.076192724967999,9.046876359252861,12.259497682279694,10.02280437943505,2.591248586377024,5.651447177103658,4.00456087588701,2.54004747287708,5.463233375172432,6.823666844793518,3.8996110206668577,8.702325176780544
