walking_dist,walkability_score,walkability_category,pct_black,black_category
1.154510544695341,64.89589905362776,Good,48.35630965005302,Low % Black (<50%)
1.0979656256602086,64.96465043205028,Good,65.35368117137554,High % Black (>50%)
0.794114357438453,73.50649350649351,Good,65.35368117137554,High % Black (>50%)
1.112878571339804,30,Poor,91.50214592274678,High % Black (>50%)
0.2112667304609343,80.85106382978724,Excellent,91.50214592274678,High % Black (>50%)
0.9183889047684144,40,Fair,70.50157491749881,High % Black (>50%)
0.7673953297625113,40,Fair,70.50157491749881,High % Black (>50%)
0.5120111349994408,40,Fair,70.50157491749881,High % Black (>50%)
0.3429977506306933,50,Fair,70.50157491749881,High % Black (>50%)
0.154100438689152,50,Fair,70.50157491749881,High % Black (>50%)
0.3790373693563821,82.85714285714286,Excellent,70.50157491749881,High % Black (>50%)
0.3628816782034871,82.38532110091742,Excellent,70.50157491749881,High % Black (>50%)
0.6903451104179353,72.22222222222223,Good,21.785782715181355,Low % Black (<50%)
0.6275864640163048,72.5136612021858,Good,21.785782715181355,Low % Black (<50%)
0.4368250338648142,83.125,Excellent,21.785782715181355,Low % Black (<50%)
0.2653261585494675,82.64957264957265,Excellent,90.17897375239383,High % Black (>50%)
0.5604782084581257,72.9607250755287,Good,90.17897375239383,High % Black (>50%)
0.3784159966197323,82.22222222222223,Excellent,50.65033097201254,High % Black (>50%)
0.7667739570258616,75.97222222222223,Good,50.65033097201254,High % Black (>50%)
0.3933289422993277,80.19900497512438,Excellent,14.020300088261255,Low % Black (<50%)
1.045148943044975,60.16901408450704,Good,14.020300088261255,Low % Black (<50%)
1.244609591509563,60.48526863084922,Good,77.82323973722293,High % Black (>50%)
1.4645755402835945,61.264367816091955,Good,77.82323973722293,High % Black (>50%)
0.7680167024991612,71.51624548736461,Good,96.64085343567251,High % Black (>50%)
0.7319770837734724,72.61780104712042,Good,96.64085343567251,High % Black (>50%)
0.2367430126635764,81.60714285714286,Excellent,96.64085343567251,High % Black (>50%)
0.3672312873600358,87.40484429065744,Excellent,96.64085343567251,High % Black (>50%)
0.6717039283184412,75.625,Good,96.64085343567251,High % Black (>50%)
0.5555072265649272,71.88679245283019,Good,96.64085343567251,High % Black (>50%)
