walking_dist,walkability_score,walkability_category,pct_black,pct_poverty,pct_no_vehicle,pct_bachelors,median_income,vulnerability_index,vulnerability_category,black_category
1.154510544695341,64.89589905362776,Good,48.35630965005302,31.038374717832955,0,42.99191374663073,56750,-0.15062481098759678,Low,Low % Black (<50%)
1.0979656256602086,64.96465043205028,Good,66.83199008059516,24.37810945273632,0,3.4712950600801067,45420,-0.06465677750891319,Low,High % Black (>50%)
0.794114357438453,73.50649350649351,Good,66.83199008059516,24.37810945273632,0,3.4712950600801067,45420,-0.06465677750891319,Low,High % Black (>50%)
0.9183889047684144,40,Fair,68.12539448769198,40.13113271535157,1.0423452768729642,4.180064308681672,40528,0.4074715279883105,Moderate,High % Black (>50%)
0.7673953297625113,40,Fair,68.12539448769198,40.13113271535157,1.0423452768729642,4.180064308681672,40528,0.4074715279883105,Moderate,High % Black (>50%)
0.5120111349994408,40,Fair,68.12539448769198,40.13113271535157,1.0423452768729642,4.180064308681672,40528,0.4074715279883105,Moderate,High % Black (>50%)
0.3429977506306933,50,Fair,68.12539448769198,40.13113271535157,1.0423452768729642,4.180064308681672,40528,0.4074715279883105,Moderate,High % Black (>50%)
0.154100438689152,50,Fair,68.12539448769198,40.13113271535157,1.0423452768729642,4.180064308681672,40528,0.4074715279883105,Moderate,High % Black (>50%)
0.3790373693563821,82.85714285714286,Excellent,68.12539448769198,40.13113271535157,1.0423452768729642,4.180064308681672,40528,0.4074715279883105,Moderate,High % Black (>50%)
0.3628816782034871,82.38532110091742,Excellent,68.12539448769198,40.13113271535157,1.0423452768729642,4.180064308681672,40528,0.4074715279883105,Moderate,High % Black (>50%)
0.6903451104179353,72.22222222222223,Good,21.027231988969323,19.47604274388142,0.9433962264150944,17.76,39082,-0.6466014616634362,Low,Low % Black (<50%)
0.6275864640163048,72.5136612021858,Good,21.027231988969323,19.47604274388142,0.9433962264150944,17.76,39082,-0.6466014616634362,Low,Low % Black (<50%)
0.4368250338648142,83.125,Excellent,21.027231988969323,19.47604274388142,0.9433962264150944,17.76,39082,-0.6466014616634362,Low,Low % Black (<50%)
0.2653261585494675,82.64957264957265,Excellent,90.83541147132168,47.34721289456011,2.3047375160051216,12.360688956433636,24090,0.9847579070923664,Moderate,High % Black (>50%)
0.5604782084581257,72.9607250755287,Good,90.83541147132168,47.34721289456011,2.3047375160051216,12.360688956433636,24090,0.9847579070923664,Moderate,High % Black (>50%)
0.3784159966197323,82.22222222222223,Excellent,52.35562310030395,62.02435312024354,6.882022471910113,18.435754189944134,30000,1.3099510868430884,High,High % Black (>50%)
0.7667739570258616,75.97222222222223,Good,52.35562310030395,62.02435312024354,6.882022471910113,18.435754189944134,30000,1.3099510868430884,High,High % Black (>50%)
0.3933289422993277,80.19900497512438,Excellent,16.59249841068023,3.958090803259604,0,13.998170173833484,127538,-1.1424849245142694,Very Low,Low % Black (<50%)
1.045148943044975,60.16901408450704,Good,16.59249841068023,3.958090803259604,0,13.998170173833484,127538,-1.1424849245142694,Very Low,Low % Black (<50%)
1.244609591509563,60.48526863084922,Good,83.42361863488624,44.95614035087719,2.756892230576441,3.385049365303244,35176,0.8874277035745872,Moderate,High % Black (>50%)
1.4645755402835945,61.264367816091955,Good,83.42361863488624,44.95614035087719,2.756892230576441,3.385049365303244,35176,0.8874277035745872,Moderate,High % Black (>50%)
0.7680167024991612,71.51624548736461,Good,95.82811848143513,30.67190226876091,2.9561671763506627,10.707911957168353,27948,0.7513746633129617,Moderate,High % Black (>50%)
0.7319770837734724,72.61780104712042,Good,95.82811848143513,30.67190226876091,2.9561671763506627,10.707911957168353,27948,0.7513746633129617,Moderate,High % Black (>50%)
0.2367430126635764,81.60714285714286,Excellent,95.82811848143513,30.67190226876091,2.9561671763506627,10.707911957168353,27948,0.7513746633129617,Moderate,High % Black (>50%)
0.3672312873600358,87.40484429065744,Excellent,95.82811848143513,30.67190226876091,2.9561671763506627,10.707911957168353,27948,0.7513746633129617,Moderate,High % Black (>50%)
0.6717039283184412,75.625,Good,95.82811848143513,30.67190226876091,2.9561671763506627,10.707911957168353,27948,0.7513746633129617,Moderate,High % Black (>50%)
0.5555072265649272,71.88679245283019,Good,95.82811848143513,30.67190226876091,2.9561671763506627,10.707911957168353,27948,0.7513746633129617,Moderate,High % Black (>50%)
0.5573713447748767,71.78082191780823,Good,96.8414779499404,53.87365911799762,5.6241426611796985,3.9487726787620065,22164,1.5559759558400872,High,High % Black (>50%)
